repository,repository_name,url,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA
airbnb/javascript,javascript,https://github.com/airbnb/javascript.git,false,1953,5,master,0,408,MIT License,3838,134114,25522,3663,2012-11-01T11:13:50,2023-05-15T09:29:30,2023-05-19T05:54:25,,JavaScript,1248,93,1426,66,2023-05-15T05:21:09,0f3ca32323b8d5770de3301036e65511c6d18e00
d3/d3,d3,https://github.com/d3/d3.git,false,4355,26,main,192,120,ISC License,3743,105024,23302,42392,2010-09-27T05:22:42,2023-04-01T02:43:09,2023-04-16T02:33:22,https://d3js.org,JavaScript,2140,6,1114,0,2023-04-01T02:43:00,37b1960e0af52d12bc7bbea2ed932ea954c36d14
hakimel/reveal.js,reveal.js,https://github.com/hakimel/reveal.js.git,false,2968,4,master,40,295,MIT License,1691,63869,16533,21203,2011-06-07T06:54:22,2023-05-31T07:07:43,2023-06-06T09:31:33,https://revealjs.com,JavaScript,2242,655,1011,86,2023-05-31T07:07:10,227f90fa008c3c840c310a5583f426f3121dbf3d
expressjs/express,express,https://github.com/expressjs/express.git,false,5771,8,master,147,275,MIT License,1722,60765,10452,9138,2009-06-26T06:56:01,2023-05-01T01:24:56,2023-05-06T03:24:32,https://expressjs.com,JavaScript,3731,110,1153,54,2023-02-26T06:34:32,0debedf4f31bb20203da0534719b9b10d6ac9a29
chartjs/chart.js,chart.js,https://github.com/chartjs/chart.js.git,false,4437,7,master,102,428,MIT License,1372,60525,11842,42299,2013-03-17T11:56:36,2023-05-05T06:57:44,2023-05-09T09:56:03,https://www.chartjs.org/,JavaScript,6808,238,3689,12,2023-04-28T05:18:20,83ba8fd77689645d0f915a6c8b4881b882be5276
jquery/jquery,jquery,https://github.com/jquery/jquery.git,false,6612,5,main,6,290,MIT License,3225,57415,20764,32151,2009-04-03T03:20:14,2023-04-18T09:43:48,2023-04-26T07:20:55,https://jquery.com,JavaScript,2242,66,2843,16,2023-04-04T10:34:39,89ef81f86f8f371154e9fd3173be5fb57cb72d5e
h5bp/html5-boilerplate,html5-boilerplate,https://github.com/h5bp/html5-boilerplate.git,false,2459,5,main,32,245,MIT License,2560,54369,12210,22577,2010-01-24T06:03:24,2023-05-05T09:07:40,2023-05-09T09:53:07,https://html5boilerplate.com/,JavaScript,1302,3,1582,4,2023-05-01T05:58:30,6b6bd4f841878b7f70c73356b87fcb0c10a5b078
semantic-org/semantic-ui,semantic-ui,https://github.com/semantic-org/semantic-ui.git,false,6747,34,master,154,184,MIT License,1320,50606,5099,113116,2013-04-08T11:32:04,2023-05-30T03:47:02,2023-06-06T07:54:48,http://www.semantic-ui.com,JavaScript,6209,957,878,112,2023-01-11T05:05:32,47acaa0ce4c8dcde6c76080483cf8a3566576770
meteor/meteor,meteor,https://github.com/meteor/meteor.git,false,33602,1544,devel,0,369,Other,1577,43434,5230,119893,2012-01-19T01:58:17,2023-04-14T10:23:09,2023-04-17T06:45:12,https://meteor.com,JavaScript,8859,181,3508,50,2023-04-04T12:21:59,d61036dd9d6e86db69a77ed668ce0c88937ad3d9
nwjs/nw.js,nw.js,https://github.com/nwjs/nw.js.git,false,4951,92,nw75,0,108,MIT License,1600,39574,3951,129290,2012-01-04T06:21:10,2023-04-27T05:23:51,2023-05-01T08:56:11,https://nwjs.io,JavaScript,7190,856,824,12,2023-04-27T05:23:40,25f89d17a8886776e3de62ae2f4a931ed13bf2de
unitech/pm2,pm2,https://github.com/unitech/pm2.git,false,4998,11,master,120,255,Other,663,39151,2540,13026,2013-05-21T03:25:25,2023-05-25T07:20:02,2023-05-31T05:56:27,https://pm2.keymetrics.io/docs/usage/quick-start/,JavaScript,4744,745,856,33,2023-04-13T07:48:44,311c53298448fc4575fc689c4943692a664373ad
hexojs/hexo,hexo,https://github.com/hexojs/hexo.git,false,3589,5,master,108,166,MIT License,824,36700,4471,7569,2012-09-23T03:17:08,2023-05-01T02:30:54,2023-05-06T02:59:16,https://hexo.io,JavaScript,3840,73,1144,8,2023-05-01T02:30:53,8b95bbc722e5c77a7e8125441ed64d2ea3524ac0
quilljs/quill,quill,https://github.com/quilljs/quill.git,false,5369,18,develop,82,126,BSD 3-Clause New or Revised License,472,35870,3041,15439,2012-07-30T11:23:18,2023-05-24T05:45:54,2023-05-31T05:54:07,https://quilljs.com,JavaScript,3186,1258,579,80,2023-05-22T03:34:22,1a14922928749b607d95cf4fbbc37323209d2715
videojs/video.js,video.js,https://github.com/videojs/video.js.git,false,3941,14,main,284,378,Other,1282,35404,7348,127168,2010-05-14T06:45:10,2023-04-23T04:44:09,2023-04-26T05:11:51,https://videojs.com,JavaScript,5009,397,2995,21,2023-04-11T07:30:18,1491d71b26a407111104dde7dbbbc0ee49b4c0c8
nolimits4web/swiper,swiper,https://github.com/nolimits4web/swiper.git,false,3404,8,master,43,252,MIT License,698,35174,9720,78531,2012-03-14T07:11:45,2023-05-15T12:07:45,2023-05-19T03:03:17,https://swiperjs.com,JavaScript,4927,186,782,6,2023-05-15T12:07:43,a8fc1df867d7e2a7afe80f4ef51753bc0e7652d3
alvarotrigo/fullpage.js,fullpage.js,https://github.com/alvarotrigo/fullpage.js.git,false,2155,8,master,88,131,GNU General Public License v3.0,850,34614,7437,16804,2013-09-20T11:58:29,2023-05-30T11:25:50,2023-06-06T03:12:37,http://alvarotrigo.com/fullPage/,JavaScript,4008,159,509,21,2023-05-29T02:30:19,3201d4afdd675056b73f70c3eee14a89f8dafd76
photonstorm/phaser,phaser,https://github.com/photonstorm/phaser.git,false,18802,7,master,139,380,MIT License,1245,34570,6985,371532,2013-04-12T12:27:51,2023-05-31T01:03:20,2023-06-06T09:28:34,https://phaser.io,JavaScript,4132,96,2253,15,2023-04-19T04:58:52,8c44dffcc7b5e1cfff92c22cfa639068c5f0cdd0
koajs/koa,koa,https://github.com/koajs/koa.git,false,1184,7,master,0,208,MIT License,836,34039,3296,3423,2013-07-20T06:53:45,2023-05-17T04:54:34,2023-05-29T09:13:54,https://koajs.com,JavaScript,887,38,815,20,2023-05-17T07:50:49,dbf4b8f41286befd53dfd802740f2021441435bf
markedjs/marked,marked,https://github.com/markedjs/marked.git,false,2974,2,master,90,151,Other,392,29579,3318,9095,2011-07-24T01:15:51,2023-04-24T05:11:14,2023-05-01T04:04:57,https://marked.js.org,JavaScript,1317,32,1391,6,2023-04-24T05:11:13,95ecb30041e54b3035acd1f37234702de7a3e15f
jashkenas/backbone,backbone,https://github.com/jashkenas/backbone.git,false,3454,4,master,0,286,MIT License,1311,27974,5564,27144,2010-09-30T07:41:28,2023-01-04T03:06:39,2023-01-20T08:19:46,http://backbonejs.org,JavaScript,2397,45,1849,26,2023-01-04T11:09:21,7af28186411755cd6c12d6cc716142fb1aeff0b0
webtorrent/webtorrent,webtorrent,https://github.com/webtorrent/webtorrent.git,false,3311,10,master,105,159,MIT License,701,27801,2689,14626,2013-10-15T08:16:40,2023-04-24T10:42:17,2023-04-26T09:29:17,https://webtorrent.io,JavaScript,1570,88,875,13,2023-04-03T11:21:48,7b3ef469ce589a378cdc93f7893ac48a9d074fff
pcottle/learngitbranching,learngitbranching,https://github.com/pcottle/learngitbranching.git,false,2773,20,main,0,253,MIT License,533,27637,5562,41410,2012-08-13T10:36:09,2023-05-20T03:39:39,2023-05-31T08:17:13,https://pcottle.github.io/learnGitBranching/,JavaScript,446,23,596,1,2023-05-20T03:39:39,80b6937c3fe905af078c57f0f2776878797e5b14
sortablejs/sortable,sortable,https://github.com/sortablejs/sortable.git,false,1080,24,master,24,136,MIT License,411,26754,3609,2403,2013-12-19T10:10:13,2023-04-28T06:05:01,2023-05-01T07:14:15,https://sortablejs.github.io/Sortable/,JavaScript,1694,402,492,25,2023-04-28T06:05:01,7af63fdc5d7512e7f0b8abb10970d473521b31a5
parallax/jspdf,jspdf,https://github.com/parallax/jspdf.git,false,2267,276,master,32,177,MIT License,478,26512,4501,108123,2009-12-06T02:56:32,2023-05-12T02:35:22,2023-05-18T09:50:16,https://parall.ax/products/jspdf,JavaScript,2348,129,1230,37,2023-04-15T01:44:08,5d09af9135a2fe049c7d3c8b95df280d22e4a6db
codemirror/codemirror5,codemirror5,https://github.com/codemirror/codemirror5.git,false,7142,7,master,168,413,MIT License,653,25839,4994,19138,2011-01-14T01:44:03,2023-04-27T08:30:38,2023-05-01T11:10:34,http://codemirror.net/5/,JavaScript,4144,390,2867,26,2023-03-16T05:03:27,9974ded36bf01746eb2a00926916fef834d3d0d0
select2/select2,select2,https://github.com/select2/select2.git,false,2654,6,develop,29,403,MIT License,727,25612,6377,13998,2012-03-04T06:43:12,2023-05-27T01:25:09,2023-05-31T06:55:37,https://select2.org/,JavaScript,4759,80,1492,21,2023-03-10T02:35:43,4de1d236e602149a5c78d35899b49b3989b94107
modernizr/modernizr,modernizr,https://github.com/modernizr/modernizr.git,false,2613,9,master,25,276,MIT License,908,25442,3047,19310,2009-09-25T08:13:23,2023-04-03T08:38:37,2023-04-16T03:18:38,https://www.npmjs.com/package/modernizr,JavaScript,1483,166,1221,26,2023-04-03T08:38:37,f1b57789747767db3eca410a7c7334f1904f4f37
lovell/sharp,sharp,https://github.com/lovell/sharp.git,false,1848,2,main,57,180,Apache License 2.0,232,25344,1236,48252,2013-08-19T08:24:24,2023-05-20T11:15:31,2023-05-31T08:35:06,https://sharp.pixelplumbing.com,JavaScript,3306,110,373,3,2023-05-16T12:55:28,3340120aeaf10811eeae97f524281ba86d78a453
remy/nodemon,nodemon,https://github.com/remy/nodemon.git,false,1289,51,main,88,155,MIT License,262,25267,1716,2443,2010-10-03T12:50:52,2023-06-01T12:15:43,2023-06-06T12:16:13,http://nodemon.io/,JavaScript,1592,5,511,7,2023-05-26T10:21:20,ddbc630f397546af829482199ea25f635a4d16be
